question,answer
"The urea cycle, a set of biochemical reactions that produces urea from ammonium ions to prevent toxicity, occurs to some extent in the kidney, but primarily in what organ?",liver
What is the plasma membrane formed by?,a phospholipid bilayer
What state of hydrogen can be predicted based on the atoms to which it is bonded?,oxidation
What blood protein carries oxygen from the lungs to cells throughout the body?,hemoglobin
What instruments used in guidance systems to indicate directions in space must have an angular momentum that does not change in direction?,gyroscopes
Through which process is the human gene for insulin placed into bacteria?,transformation
What are the organs work together to allow us to see?,brain and eyes
What is the type of mining called when materials are removed along a strip?,strip mining
What is the term for the spacing of individuals within a population?,dispersion
"The small, egg-shaped organs that lie on either side of the uterus are called?",ovaries
The strength of what depends on the concentration of hydrogen ions it produces when dissolved in water?,acid
"Generally speaking, electronegativity values ______ from left to right across a row in the periodic table and _______ down a column.","increase, decrease"
"When plants lose their leaves in the fall, what chemical is produced less to cause the change?",chlorophyll
What is the the basic si unit for mass?,kilogram (kg)
Body plans do provide a succinct way to compare and contrast what?,key animal features
Metabolism is an emergent property of life that arises from orderly interactions between what?,molecules
Where does the most important monsoon in the world occur?,southern asia
Which common oxidizing agent can be used to oxidize alcohols?,potassium dichromate
What is the term for physicians and scientists who research and develop vaccines and treat and study conditions ranging from allergies to aids?,immunologists
One species benefits while the host species is harmed in what type of relationship?,parasitism
How do bees communicate to tell other bees where food is located?,waggle dance
Which parasite causes downy mildew in grape plants?,plasmopara viticola
What are the most successful organisms on earth?,bacteria
What does parasitic mean?,lives in host
What three forces are involved in erosion?,"water, wind, gravity"
"When hot water gently rises to the surface, it creates a what?",hot spring
"The primary substance that human cells, and ultimately human beings, are made up of is what?",water
Contour tillage helps slow water run-off and what process that causes topsoil loss?,soil erosion
How do you add two dimensional vectors?,geometrically
The smallest unit of structure and function in all living organisms is what?,cell
"When drinking water is treated, what is the term for when chemicals cause solids in the water to clump together?",coagulation
What system is responsible for defending your body against sickness?,immune system
Mutualism is an interaction between individuals of two different species that has what effect on both of them?,beneficial
How do leaves export sugar to roots and other nonphotosynthetic parts of the plant?,veins
"What in the skin dilates, or widens, in order to increase blood flow to the bodys surface?",blood vessels
"While in the lungs, blood gives up carbon dioxide and picks up what element before returning to the heart?",oxygen
What occurs when the immune system is not working properly?,immunodeficiency
Caffeine is an example of what type of drug?,psychoactive
"What medical emergency occurs when a blood clot blocks blood flow to part of the brain, causing death of brain cells?",stroke
Dispersal occurs only on what time scale?,evolutionary
The scale that is used to measure the loudness of sound measures their loudness in what?,decibels
What corrosive substances capable of dissolving many metals can cause contamination if spilled?,acids
What is found inside the pores of spongy bone?,bone marrow
A complex interactions of hormones result in an edible fruit that entices animals that help disperse what?,seeds
What kind of charge does a proton have?,positive
What type of reactions are chemical reactions that release energy?,exothermic reactions
The cochlea and vestibul make up what part of the ear?,inner
"Capacitors can be used to filter out low frequencies. for example, a capacitor in series with a sound reproduction system rids it of the 60 hz what?",hum
The common cold and flu are examples of human diseases caused by what tiny particles?,viruses
Which law explains why a ship weighing thousands of metric tons floats on water?,archimedes' law
"In the small intestine, chyme mixes with bile, which emulsifies what substances?",fats
"Connective tissues typically have three characteristic components in common: cells, large amounts of amorphous ground substance, and what else?",protein fibers
What do sharks use to secrete salt to assist in osmoregulation?,rectal gland
"In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?",female
"If an electric current passes through water, water molecules break down into molecules of what?",hydrogen and oxygen
The epidermis consists mainly of what type of cells?,epithelial
Which group of the periodic table consists of hydrogen and the alkali metals?,group 1
Muscarinic receptors can cause both depolarization or hyperpolarization depending on the what?,subtype
What does fluorine attract better than any other element?,shared electrons
What term is used to describe structures that are similar in unrelated organisms?,analogous
What is the amount of force pushing against a given area?,pressure
Resistors connected end to end are said to be in what?,series
The substances that comprise heterogeneous mixtures can also be separated by what means?,physical
How can natural resources be classified from a human point of view?,renewable or nonrenewable
"After fertilization is complete, no other sperm can enter. the fertilized ovule forms the seed, whereas the tissues of the ovary become this?",fruit
Neurons are classified based on the direction in which they carry what?,nerve impulses
What do sudoriferous glands secrete?,sweat
Osteoclasts and osteoblasts play key roles in repair of what?,bone
What kind of messages do neurons send?,electrical messages
"While the chromosome is replicating, the cell does what?",elongates
What type of compound is essential to life?,water
How many electrons are in the hydrogen atom?,one
In which sphere of the atmosphere do the northern and southern lights occur?,thermosphere
What is the area where an electron is most likely to be found called?,orbital
High levels of radiation can remove electrons from?,metals
What do you call the transfer of thermal energy between particles of matter that are touching?,conduction
What is required between cytoskeleton and motor proteins for cell motility?,interaction
All carbon atoms have how many protons?,six
"Gastropods, cephalopods, and bivalves are examples of what class?",mollusks
The abnormal cells cannot carry oxygen properly and can get stuck where?,capillaries
What is the release of energy in the form of high energy electromagnetic waves?,gamma emission
How do bacteria reproduce?,binary fission
"If humans were to artificially intervene and fertilize the egg of a bald eagle with the sperm of an african fish eagle and a chick did hatch, that offspring, called a hybrid (a cross between two species), would probably be this?",infertile
What are the 3 types of tissues that modern plants have?,"dermal, ground, and vascular"
What carries small pollen grains farther than they otherwise would go?,wind
Varves form in lakes covered by what?,ice
What are the properties of solutions called that depend only on the concentration of dissolved particles and not on their identity?,colligative properties
Most fungi reproduce asexually by producing what?,spores
Electrons flow through wires to create what?,electric current
What causes an elastic force in springs?,stretching or compressing
What is formed when hot lava cools?,mineral crystals
"What descend from clouds in funnel-like shapes that spin violently, producing powerful winds?",tornadoes
What term is defined as a way of writing very large or small numbers that uses exponents?,scientific notation
"What common ailment is typically caused by tense muscles in the shoulders, head and neck?",headache
"A major source of primary pollutants is the burning of oil and coal, which are types of what?",fossil fuels
"John dalton thought that what unit, which means ""indivisible"", could not be divided into smaller, simpler particles?",atom
Robert merrifield developed the first synthetic approach for making what essential cell substances in the lab?,proteins
What blood component serves both structural and molecular functions in blood clotting?,platelets
Zeros that appear in front of all of the nonzero digits are called what?,left-end zeros
What keeps the moon orbiting earth?,gravity
"What state of matter is characterized by tiny particles separated by large distances, which do not experience any force of attraction or repulsion with each other?",gas
The most basic division of land plants is between what type of plants?,nonvascular and vascular
What long molecules are composed of chains of units called monomers?,polymers
What lies between the continental shelf and the abyssal plain?,continental slope
What is the germ for a group of atoms within a molecule that reacts similarly anywhere it appears in different compounds?,functional group
What is the name of the chart that allows you to easily determine the expected percentage of different genotypes in the offspring of two parents?,punnett square
"When blood vessels in the head dilate, what kind of severe headache can occur?",migraine
What is responsible for the development of antibiotic-resistant strains of bacteria?,bacterial mutations
Some protists hunt their food or act as what?,parasites
What is the name for animals that have a backbone?,vertebrates
What important organelle (that would otherwise be centrally located and crucial to the cell's survival) do prokaryotic cells lack?,nucleus
What kind of relationship exists between living things that depend on the same resources?,competition
An electron in an atom is completely described by four of what?,quantum numbers
"What celestial bodies are classified by color and temperature, ranging from blue to red and hottest to coolest?",stars
What does the moon not have to protect it from extreme temperatures?,atmosphere
"In stars like our sun, hydrogen atoms join together to create what?",helium atom
What type of isotopes have short half-lives and are given in very low doses?,radioisotopes
"During birth, a baby passes from the uterus through what organ to leave the body?",the vagina
Why is the root cap continuously replaced in plants?,damage through pushing
Winds moving air masses causes what?,weather
In what organ is food remains turned into solid waste for excretion?,large intestine
What is the region known as the myelencephalon in the embryonic brain?,medulla
"Depending on how matter interacts with light, it can be classified as transparent, translucent, or what?",opaque
Sulfate is used as a cleaning agent because it is acidic and soluble in what substance?,water
The tidal forces near what celestial phenomena are so great they can actually tear matter from a companion star?,black holes
"When members of the same species compete for the same resources, it is called what?",intraspecific competition
What in the axils of leaves and stems give rise to branches?,axillary buds
What vision defect occurs because the eye is too long?,myopia
What is a random change in an organism's genes?,mutation
What were the first particles with mass to be directly confirmed to have the wavelength proposed by de broglie?,electrons
"What is any nonmetallic, inorganic solid that is strong enough for use in structural applications called?",ceramic
"With codominance, both alleles are expressed equally in what?",heterozygotes
What type of climates are found around the equator?,tropical
What are the primary cells of adaptive immune response?,lymphocytes
What term is used to describe  an illusion that light from faraway objects is reflected by a pool of water that is not really there?,mirage
What type of lenses can correct myopia?,concave lenses
What is the primary energy source for cells?,glucose
Alkenes have double bonds while alkynes have what?,triple bonds
How many valence electrons does helium have?,two
Why do birds need a light-weight body?,to stay aloft
What causes continents to drift closer to the poles or the equator?,plate movements
What would you call a relationship where the bacteria benefit and and the other organism is harmed?,parasitism
What is the apparatus used for carrying out an electrolysis reaction called?,electrolytic cell
What happens to the mass number during a nuclear decay process by positron emission?,remains unchanged
What is the sun classified as on the main sequence?,yellow dwarf
"A newborn baby has a soft spot on the top of its head. over the next few months, the soft spot gradually does what?",hardens
The lack of annihilation radiation coming to us from space proves that the universe is dominated by what?,matter
What type of friction is friction that acts on objects when they are sliding over a surface?,sliding friction
Where is the guinea worm a serious problem?,africa
"Changes in temperature, ph, and exposure to chemicals may lead to permanent changes in the shape of a protein, leading to loss of function known as what?",denaturation
How do gametophyte plants form haploid gametes?,through mitosis
Integral and peripheral proteins are associated with what fatty bilayer?,lipid
Which part of the body has mucus and hair to trap dust and also warms and moistens air so to not harm lung tissue?,the nose
Where do the majority of species live?,ocean
"Cells in blood include red blood cells, white blood cells, and what?",platelets
"From observations as simple as blowing up a balloon, it is clear that increasing the amount of gas increases what else?",the volume
What are formed when crystals precipitate out from a liquid?,chemical sedimentary rocks
What is a gap in rock layers called?,an unconformity
"The tails of the hale-bopp comet point away from the sun, evidence that light has what property of motion?",momentum
What is the type of cell division that produces gametes?,meiosis
"What class of animals, translated as “head foot”, includes octopuses, squids, cuttlefish, and nautilus?",cephalopods
The two main agents of soil erosion are water and what else?,wind
What larger theory is einstein's equation part of?,theory of relativity
What are living echinoderms divided into five of?,clades
What is idefined as the mass of a substance divided by its volume?,density
What type of cells are arranged into tightly packed sheaths around the veins of the leaf?,bundle-sheath cells
What does the kyoto protocol focus on controlling?,greenhouse gas emissions
What is the property by which water molecules stick together?,cohesion
The inside surface of the jejunum is covered with tiny projections called what?,villi
Another measure of the effectiveness of a machine is its what?,mechanical advantage
Vaccinations are designed to boost immunity to a virus to prevent this?,infection
"What can be identified as an element, a compound, or a mixture?",matter
What type of systemic response involves lymphocytes?,immune
Most terrestrial vertebrates have what type of lungs?,internal
What makes a complete orbit around the earth once every 29 1/2 days?,the moon
"What occurs when a few individuals start, or found, a new population?",founder effect
Hemoglobin is a large molecule made up of proteins and iron. it consists of four folded chains of a protein called this?,globin
Hydrophobic interactions arise because water molecules engage in what type of bonding with other water molecules?,hydrogen bonding
What value of dissolved substances is higher than that of their corresponding precipitate?,entropy
What do the letters in our blood types represent?,alleles
What word describes a carbonyl where the carbon atom makes single bonds with two others?,ketones
What type of generations do plants alternate between during a life cycle?,haploid and diploid
Fish use some of their fins to propel themselves through the water and others to do what?,steer
What is the place called where the axon of one neuron meets the dendrite of another?,synapse
"In atherosclerosis, thickening of an arterial wall due to this can restrict blood flow through the artery?",plaque formation
What causes earthquakes at mid-ocean ridges to be small and shallow?,"plates are thin , young , and hot"
What does a cell need to transform into a cancerous cell?,mutations
What is the term for any way that an animal interacts with other animals or the environment?,animal behavior
What is the organic material that comes from plants and animals that were recently living called?,biomass
"If a sedimentary rock layer is not horizontal, what is it?",deformed
"What's the name for a cluster of genes, where one promoter serves adjacent genes?",opteron
Dietary proteins are broken down into what components when food is digested?,amino acids
What term is used to describe animals that excrete ammonia?,ammonotelic
Name the term used to described prokaryotes that require oxygen.,aerobic
What kind of reproduction results in offspring that are generally all genetically different?,sexual
Oxygen and what are required for rust to form?,water
The structures of both trifluoramine and hydroxylamine are similar to that of what?,ammonia
What is an alloy of both tin and copper?,bronze
What do you call an object that attracts certain materials such as iron?,magnet
Most carcinogens produce mutations in genes that control what?,cell cycle
What do you call the fragments of cells involved in the clotting process that are suspended in blood plasma?,platelets
What are organisms that feed on available plants called?,grazers
Cycloalkanes are hydrocarbons whose molecules are closed rings rather than straight or branched chains. a cyclic hydrocarbon is a hydrocarbon with a ring of these?,carbon atoms
Carbon dioxide is an example of a material that easily undergoes what?,sublimation
What type of creature is a scallop?,mollusk
Photoreceptors in each ocellus receive light only through the opening where there are none of which cells?,pigmented
What cellular structure is used during endocytosis to allow molecules to enter the cell?,vesicles
What measurement is used to describe the amount of water vapor in the air?,humidity
What is rusting an example of?,chemical change
The energy for an ecosystem can come from sunlight or _________?,chemical compounds
What is the smallest part of an element called?,atom
What makes breathing difficult due to respiratory system disease?,narrow air passages
The cell theory and the theory of evolution by natural selection are basic to all fields in what branch of science?,life science
In what form of matter is hydrogen at room temperature?,gas
"Nonvascular plants such as liverworts, hornworts, and mosses lack what three typical plant features?","roots, stems, leaves"
What is the breakdown of unstable elements into stable elements called?,radioactive decay
What does the kinetic-molecular theory describe the behavior of?,an ideal gas
"For most of a star’s life, hydrogen atoms fuse to form what?",helium atoms
Sometimes two or more distinct phenotypes can each have their advantages and be selected for by natural selection; this is known as what?,diversifying selection
What term describes waves that travel through matter?,mechanical waves
Amniocentesis and chorionic villus sampling can indicate whether a suspected genetic disorder is present at what stage?,fetal
Glass breaking is an example of what type of change that doesn't affect the makeup of matter?,physical
What is it called when rays focus at different distances from the lens?,spherical aberration
High per capita use of what means the ecological footprint of the united states is large?,resources
What are the four stages of food processing?,"ingestion, digestion, absorption, and elimination"
What is the process by which a liquid changes to a solid?,freezing
What causes cobalt chloride to turn pink?,co 2+ ions
What are fungus-like protists?,molds
What are plastids that contain other pigments?,chromoplasts
The right side of the heart collects what type of blood from the body?,oxygen-poor
What term is used to express the measurement of how high land is above sea level?,elevation
What is the smallest unit of matter that still maintains it's properties of being an element?,an atom
Different isotopes of an element have different mass numbers because they have different numbers of what?,neutrons
What is a double membrane of the nucleus that encloses the genetic material?,the nuclear envelope
What does increasing a solute's temperature do?,increases its solubility
Atoms that have gained electrons and become negatively charged are called what?,negative ions
Gases are most ideal at high temperature and what pressure?,low
The radiocarpal and midcarpal joints are responsible for all movements of the hand and what other part of the body?,wrist
A structure composed of two or more types of tissues that work together to perform the same function is called?,organ
What is at the center of our solar system?,the sun
Blood enters the heart in what valve?,atria
What is essential for cellular respiration for all aerobic organisms?,oxygen
"Macrophages and dendritic cells are types of what""",phagocytic cells
Water is a versatile solvent that can dissolve many ionic and polar molecular solutes to make what?,aqueous solutions
What nervous tissue cells play a supporting role to neurons?,glial cells
Water's very polar compound causes most solutes to do what?,dissolve
What type of light is composed of many rays having random polarization directions?,unpolarized light
What type of reproduction occurs in almost all fungi?,sexual
What disease occurs when cells in the breast grow out of control and form a tumor?,breast cancer
What is the measure of electric current?,ampheres
Where on earth do bacteria live?,all environments
How many processes contribute to the emergence of viral diseases?,three
A group of atoms that results when one hydrogen atom is removed from an alkane is referred to as what?,alkyl group
What process is magnesium important to?,photosynthetic
Acid rain is corrosive rain caused by rainwater falling to the ground through which gas?,sulfur dioxide
What do you call a simple machine consisting of a sloping surface that connects lower and higher elevations?,inclined plane
What is the organ in which gas exchanges take place between blood and air?,lungs
Vesicular transport includes exocytosis and what?,endocytosis
Endoscopes are used to explore the body through various orifices or these?,minor incisions
"In the forward reaction, hydrogen and iodine combine to form what?",hydrogen iodide
The sun and all objects held by it's gravity make up the?,solar system
Every object is attracted to every other object by what force?,gravity
The skull consists of cranial bones and what other type of bones?,facial
The depth of the atmosphere is greatest where?,sea level
"The hardest natural substance, diamond is a form of what element?",carbon
What secures together immovable joints and prevents them from moving?,dense collagen
The esophagus runs a mainly straight route through the mediastinum of what?,thorax
Respiration rate correlates with what?,energy use
"In moss, what becomes elongated to elevate the capsule to enhance spore dispersal?",seta
What is the hollow sac like organ that stores urine until it is excreted?,bladder
What type of organism is commonly used in preparation of foods such as cheese and yogurt?,mesophilic organisms
Which nerve directly stimulates the contraction of skeletal muscles in the pharynx and larynx to contribute to the swallowing and speech functions?,vagus nerve
What affects the boiling point of water?,external pressure
What is a continuous flow of electric charges called?,electric current
Symptoms of viral diseases result from what kind of response to a virus?,immune
Scientists search for answers to questions and solutions to problems by using a procedure called this?,scientific method
What are magnetites naturally attracted to?,iron
What is the division of the body into multiple parts called?,segmentation
"Adaptations that go along with the active, carnivorous lifestyle of sharks are known as?",acute senses
The first living cells may have evolved around how long ago?,4 billion years
A winter storm is called what?,blizzard
What is the smallest volcanic landform that is formed from accumulation of many small fragments of ejected material?,cinder cones
What is it called when an egg develops into an individual without being fertilized?,parthenogenesis
What are negative electrons attracted to?,positive protons
What is the type of energy that involves movement?,mechanical energy
"In the freshwater flatworms, protonephridia serve chiefly in what?",osmoregulation
What can be combined with an amine to form an amide?,carboxylic acid
What is the movement of plates called?,plate tectonics
The vestibulocochlear nerve is responsible for the senses of hearing and what else?,balance
"The distance between two crests of a wave of light is referred to as what, which is related to the color of light?",wavelength
Sexual reproduction involves the production of haploid gametes by what?,meiosis
Materials that are good conductors of thermal energy are called?,thermal conductors
What is it called when crystals form from magma?,crystallization
What is the decayed remains of living organisms called?,humus
Water from the land and oceans enters the atmosphere by which process?,evaporation
In what form is most of the earth's freshwater?,frozen
What is a sheet of muscle that spreads across the bottom of the rib cage?,diaphragm
What type of young do scorpions produce?,live
"Exemplified by a lit match bursting into flame or the process that forms fossil fuels, chemical reactions vary greatly in terms of what?",speed
How many bones make up an adult human skeleton?,206
Does air temperature increase or decrease as it rises higher in the atmosphere?,decrease
Angiosperm success is a result of two novel structures that ensure reproductive success: flowers and this?,fruit
What type of fish are the majority of living species?,ray-finned fish
What do electrons lose during their transfer from organic compounds to oxygen?,potential energy
What is the part of the shadow that is partially lit called?,penumbra
Narrowing of the arterioles causes an increase of what upstream in the arteries?,blood pressure
A  d. melanogaster population has an average heterozygosity of what?,14%
"In the stomach, which material's arrival triggers churning and the release of gastric juices?",food
"Certain anaerobic parabasalid species exist in the digestive tracts of termites and wood-eating cockroaches, where they contribute an essential step in the digestion of this?",cellulose
What might eventually happen to a species if it is unable to reproduce?,extinction
"Hydrocarbons are combined with oxygen in a series of enzymatic steps to product water, carbon dioxide, and energy, which is stored in the form of what?",reactive molecules
What is the minimum mass capable of supporting sustained fission called?,critical mass
From what do tubeworms found deep in the galapagos rift get their energy from?,chemosynthetic bacteria
What does the heat energy affect in the atmosphere?,winds and weather
What process allows plants to convert light energy into sugars and energy for food?,photosynthesis
What is the purpose of utilizing careful farming practices such as rotating crops or planting nutrient rich crops?,improve soil quality
What should a pregnant woman avoid while pregnant?,toxic substances
What occurs when the immune system attacks harmless substances that enter the body from the outside?,allergies
"When cardiac muscle contracts, the heart does what?",pumps blood
"During the condensation reaction of sugars what is removed, linking the two sugars?",water
What forces in liquids are strong enough to keep them from expanding significantly when heated?,intermolecular forces
"Because atoms are always electrically neutral, for each added proton, one of what is also added?",electron
How does the heart transport blood?,blood vessels
Increasing what property of dirt would make it easier to rinse off your hands?,solubility
The union of gametes is called?,fertilization
How does air always flow?,high to low
What is the type of cancer in which bone marrow produces abnormal white blood cells that cannot fight infections?,leukemia
"Hemoglobin, with four polypeptide chains or subunits, is the most frequently cited example of a protein having what kind of structure?",quaternary
The presence of solute particles blocks some of the ability for liquid particles to do what?,evaporate
How many neutrons do 99% of carbon atoms have?,six
"Dermal, vascular, and ground tissue make up what part of a plant, which bears the leaves, flowers and fruits?",stem
Where does an object gain or lose it's energy to during travel through a potential difference?,electric field
What is magnetism produced by electricity called?,electromagnetism
What shape is each face of a tetrahedron?,equilateral triangle
What is the only substance on earth that is stable in all three states?,water
Sediments in oligotrophic lakes contain large amounts of what?,decomposable organic matter
What happens to a species when all of the individuals die out or evolve into a different species?,extinction
Prokaryotes divide via binary fission and do not undergo what process of cell division?,mitosis
What force includes forces of attraction and repulsion?,magnetic force
"Simple eyes, like the human eye, have how many lenses?",one
"The majority of salamanders lack what organs, so respiration occurs through the skin or through external gills?",lungs
"How do glucose, ions, and other larger molecules leave the blood?",through intercellular clefts
"The voltage is measured using a voltmeter, which measures which difference across two points?",potential difference
The modern atomic theory states that all matter is composed of what?,atoms
What are the two major atmospheric gases?,nitrogen and oxygen
What process that begins in utero during fetal development and continues on into adolescence involves closing of the skull?,ossification
"Since warmer molecules have more energy, they are more what?",active
"Sepals, petals, pistils, and stamens are contained in all what, which are actually modified leaves or sporophylls organized around a central stalk?",flowers
A crow that becomes used to a scarecrow and lands on it is an example of what?,habituation
What is liquid water falling from the sky called?,rain
"In the chest, the trachea divides as it enters the lungs to form the right and left what?",bronchi
What kind of energy positions do electrons occupy during ground state?,lowest energy positions
Each organism inherits one of what item for each gene from each parent?,allele
Acne and different types of cancer can affect what large organ?,skin
In which human organ do the juveniles develop into sexually mature adults?,intestines
What do glands in the skin produce to cool down the body?,sweat
"When magma heats groundwater, it may come to the surface as a hot spring or a what?",geyser
"Kangaroos, koalas, and opossums are examples of what type of mammals?",marsupials
Enzymes speed up the rate of a specific chemical reaction and is therefore known as what?,biochemical catalysts
What do voltmeters measure?,voltage
"The axon terminates on muscle fibers at the neuromuscular junction. acetylcholine is released at this specialized synapse, which causes the muscle action potential to begin, following a large potential known as an end plate potential. when the lower motor neuron excites the muscle fiber, it contracts. all of this occurs in a fraction of a second, but this story is the basis of how this functions?",nervous system
"What layer covers the bones that make them look tough, shiny, and white?",periosteum
What does hair get its color from?,melanin pigments
Where do most ecosystems get their energy from?,sun
What group of animals are the largest arthropods?,insects
An electrical signal along a nerve cell triggers the secretion of what?,neurotransmitter molecules
Some living things on the ocean floor are sources of what human necessity?,medicines
"What class of animal, including hydras and jellies, is considered the simplest to contain a nervous system?",cnidarians
What is the movement of substances across the membrane without the expenditure of cellular energy called?,passive transport
What type of radioactive decay is generally only dangerous when emitted inside the body?,alpha decay
What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,ulcers
Which fungi eaten by people all over the world?,mushrooms
What do aquatic mollusk species use for respiration?,gills
What atmospheric layer lies above the highest altitude an airplane can go and below the lowest altitude a spacecraft can orbit?,mesosphere
What are the attractive forces that occur between polar molecules called?,dipole-dipole forces
What is energy from the sun called?,solar energy
Chytridiomycota are considered the most primitive of what kingdom?,fungi
"The number, size, shape, and banding pattern of chromosomes make them easily identifiable in a what?",karyogram
What are archaea that live in extremely hot environments called?,thermophiles
What helps form the walls of internal organs such as the heart and stomach?,muscles
The gender of a baby is determined by what special pair of chromosomes?,sex chromosomes
Bases are ionic compounds consisting of hydroxide ions and a what?,cation
What form do alkali metals take at room temperature?,solid
Which measure indicates the number of electrons in a given sublevel?,superscripts
What element is all life built around?,carbon
What helps to convert some molecules to forms that can be taken up by other organisms?,prokaryotes
What is the most common type of organic compound?,carbohydrates
Comparisons of amino acid sequences can shed light on the evolutionary divergence of what?,related species
What term is used to describe potential energy due to an object’s shape?,elastic potential energy
How much unpolarized light does a polarized filter block?,50%
What is it called when large objects are broken down into smaller pieces?,weathering
Capillaries are narrow-diameter tubes that can fit red blood cells through in single file and are the sites for the exchange of what?,nutrients
What is caused by bodies sliding over rough surfaces?,friction
An example of beta decay is the emission of an electron by a carbon-14 what?,nucleus
"Unlike fibrous or cartilaginous joints, the articulating bone surfaces at what joint type are not directly connected to each other with fibrous connective tissue or cartilage?",synovial joint
What is the second most common type of cancer in both men and women?,lung
What does the secondary oocyte have the most of from the original cell?,cytoplasm
What are specialized cells that are capable of sending electrical as well as chemical signals?,neurons
Pure constructive interference and pure destructive interference are distinguished by whether or not identical waves are what?,in phase
What system of the body is responsible for producing hormones?,endocrine system
What would you need to see most cells?,microscope
Many diseases arise from genetic mutations that prevent the synthesis of critical what?,proteins
What type of electricity is formed when a negative charge builds up and are transferred?,static electricity
"What limits the growth or development of an organism, population, or process?",limiting factor
"By 180 million years ago, pangaea began to do what?",break up
Glaciers modify the landscape by what?,erosion
"Mammoths, close genetic relatives of modern elephants, are believed to have gone extinct due to hunting by humans and what factor?",climate change
"During the embryonic stage of vertebrates, the notochord develops into what?",backbone
"Fructose and lactose are types of sugars broken down by the body to form what, which is the simplest sugar of all?",glucose
A long chain of mountains that rises up high above the deep seafloor is called?,mid-ocean ridges
The kidneys are a pair of bean-shaped structures that are located just below and posterior to the liver in this?,peritoneal cavity
"In boys, what hormone stimulates the growth of the larynx and thickening and lengthening of the vocal folds, which causes the voice to drop in pitch during puberty?",testosterone
In which way do vertebrates reproduce?,sexually
What can damage animal tissues?,extreme pressure or temperature
Chloroplasts are the little green particles in plants made up of what colorful pigment?,chlorophyll
Chemical elements and water are constantly recycled in the ecosystem through what?,biogeochemical cycles
"Referring to low what, hypovolemia may be caused by bleeding, dehydration, vomiting, severe burns, or some medications used to treat hypertension?",blood volume
"What bodily defense can be acquired in an active or passive way, and can be natural or artificial?",immunity
Why do butterfly fish have fake eyespots?,confuse predators
What is the sum of the massess of the atoms in a molecule?,molecular mass
What organ contributes about 60% of the volume of semen ?,seminal vesicles
Molds and yeasts are organisms in what kingdom?,fungus
What type of reproduction takes place when an animal simply divides into two parts?,fission
Surface tension is a property of matter that is in what state?,liquid
What term describes a collection of similar cells that had a common embryonic origin?,tissue
What two lenses comprise a compound microscope?,objective and eyepiece
"Water is a polar compound, so its molecules are attracted to each other and form what kind of bonds?",hydrogen
What system serves as the relay between the cns and the internal organs?,autonomic nervous system
What is the liquid component in blood?,plasma
What kind of respiration allows rapid production of atp in low oxygen situations?,anaerobic
"What are the most energetic of all electromagnetic waves, which can be used to treat cancer?",gamma rays
"When thinking of the rate at which two gases mix, it is inverse proportional to the density of what?",gas
What is at the top of the mesosphere?,mesopause
What type of simple machine is a seesaw an example of?,lever
"Clubmosses are not true mosses, though, because they have what?",vascular tissue
The chemical behavior of elements can largely be explained by what?,electron configurations
"Rich in protein and nutrients, what abundant group of organisms is being touted as an important human dietary source?",insects
"For a given amount of solute, do smaller particles have a greater or lesser surface area?",greater
Plants can tell the time of day and time of year by sensing and using various wavelengths of what,sunlight
What is the largest of the sinuses?,superior sagittal sinus
What were the first vertebrates to evolve?,fish
Which organ secretes estrogen?,the ovaries
The smallest part of an element that maintains the identity of that element is called what?,atom
Colonial organisms were probably one of the first evolutionary steps towards which type of organisms?,multicellular
What hydrocarbons contain only single bonds between carbon atoms?,saturated hydrocarbons
"What branch of science is the study of the universe, not of cosmetics?",cosmology
The first leaves of most ferns appear curled up into what?,fiddleheads
The zygote undergoes many cell divisions before it implants in the lining of what?,uterus
What happens when the blood cannot reach the heart because a blood vessel is blocked?,heart attack
When are peptide bonds between amino acids formed?,process of translation
Liquid hcl can be used to do what to the ph of a swimming pool?,lower it
"Strong, stable bonds between carbon atoms produce complex molecules containing chains, branches, and rings; the chemistry of these compounds is called what?",organic chemistry
What do industries use water to generate?,electricity
What kind of resource is soil?,renewable
"In eukaryotes, the major mechanism for shuffling genes is what?",sexual reproduction
What size of ring will a summer drought cause in a tree?,smaller
Increasing the temperature of n2 molecules increases what energy of motion?,kinetic energy
In a mammal the front part of the brain is called the what?,cerebrum
What is released into the atmosphere when fossil fuels are burned?,carbon dioxide
What does the esophagus connect to at its bottom end?,the stomach
Some hormones produced by the anterior pituitary regulate the production of hormones by other tissues belonging to what system?,endocrine
The older parts of what structures anchor the plant and transport water and solutes between the soil and shoots?,roots
What device is an electrochemical cell or series of cells that produces an electric current?,battery
Fission is a type of radioactivity in which large nuclei spontaneously break apart into what?,smaller nuclei
"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging
What are the ice crystals that form on the ground called?,frost
"Oxygenated air, taken in during inhalation, diffuses across the surface of the lungs into the what?",bloodstream
What term means an area where two closely related species continue to interact and reproduce?,hybrid zone
"Animals require air, water, and what in order to live and survive?",food?
What property are alkali metals at room temperature?,solid
Chemical reactions follow which laws?,thermodynamics
The product of a wave's wavelength and its frequency is what?,speed
What is the term for polyatomic ligands with two or more donor atoms?,chelates
Energy comes in discrete packages called what?,quanta
"Amphibians have permeable skin which allows for the exchange of oxygen and carbon dioxide, what is this ""breathing called?""",cutaneous respiration
Many metals react with acids to produce what gas?,hydrogen
